session,trial,staircase,orientation,response,correct,contrast1,contrast2
1,1,2,left,left,True,0.6,0.6
1,1,3,left,left,True,0.6,0.6
1,2,2,left,left,True,0.6,0.6
1,2,3,right,right,True,0.55,0.6
1,3,2,left,right,False,0.55,0.6
1,3,3,right,left,False,0.6,0.6
1,4,2,left,left,True,0.6,0.65
1,4,3,right,right,True,0.6,0.65
1,5,2,right,right,True,0.6,0.65
1,5,3,left,left,True,0.55,0.65
1,6,2,right,right,True,0.55,0.65
1,6,3,right,right,True,0.55,0.65
1,7,2,left,right,False,0.55,0.6
1,7,3,left,left,True,0.6,0.6
1,8,2,left,left,True,0.6,0.6
1,8,3,left,left,True,0.6,0.6
1,9,2,left,left,True,0.6,0.6
1,9,3,left,left,True,0.55,0.6
1,10,2,right,left,False,0.55,0.55
1,10,3,right,left,False,0.6,0.55
1,11,2,right,right,True,0.6,0.6
1,11,3,left,left,True,0.6,0.6
1,12,2,left,left,True,0.6,0.6
1,12,3,left,right,False,0.55,0.6
1,13,2,left,left,True,0.55,0.65
1,13,3,right,right,True,0.55,0.65
1,14,2,right,right,True,0.55,0.65
1,14,3,left,left,True,0.5,0.65
1,15,2,right,right,True,0.5,0.65
1,15,3,left,left,True,0.5,0.65
1,16,2,right,right,True,0.5,0.6
1,16,3,left,left,True,0.45,0.6
1,17,2,right,right,True,0.45,0.6
1,17,3,left,left,True,0.45,0.6
1,18,2,left,right,False,0.45,0.6
1,18,3,right,right,True,0.5,0.6
1,19,2,left,left,True,0.5,0.55
1,19,3,left,left,True,0.5,0.55
1,20,2,right,right,True,0.5,0.55
1,20,3,right,right,True,0.45,0.55
1,21,2,left,left,True,0.45,0.55
1,21,3,right,right,True,0.45,0.55
1,22,2,right,right,True,0.45,0.5
1,22,3,left,left,True,0.4,0.5
1,23,2,left,left,True,0.4,0.5
1,23,3,right,right,True,0.4,0.5
1,24,2,right,right,True,0.4,0.5
1,24,3,left,left,True,0.35,0.5
1,25,2,left,left,True,0.35,0.45
1,25,3,right,right,True,0.35,0.45
