session,trial,staircase,letter,response,correct,soa1,soa2
1,1,2,D,D,True,12,12
1,1,3,D,D,True,12,12
1,2,2,A,A,True,12,12
1,2,3,F,F,True,11,12
1,3,2,S,S,True,11,12
1,3,3,F,F,True,11,12
1,4,2,D,D,True,11,11
1,4,3,G,G,True,10,11
1,5,2,D,D,True,10,11
1,5,3,S,S,True,10,11
1,6,2,L,L,True,10,11
1,6,3,J,J,True,9,11
1,7,2,L,L,True,9,10
1,7,3,J,K,False,9,10
1,8,2,L,L,True,9,11
1,8,3,H,H,True,8,11
1,9,2,K,K,True,8,11
1,9,3,S,S,True,8,11
1,10,2,G,G,True,8,11
1,10,3,D,D,True,7,11
1,11,2,G,G,True,7,10
1,11,3,J,J,True,7,10
1,12,2,J,J,True,7,10
1,12,3,K,K,True,6,10
1,13,2,F,F,True,6,10
1,13,3,K,K,True,6,10
1,14,2,A,A,True,6,9
1,14,3,K,K,True,5,9
1,15,2,A,A,True,5,9
1,15,3,F,F,True,5,9
1,16,2,D,D,True,5,9
1,16,3,A,A,True,4,9
1,17,2,D,D,True,4,8
1,17,3,S,S,True,4,8
1,18,2,K,F,False,4,8
1,18,3,H,H,True,5,8
1,19,2,K,K,True,5,8
1,19,3,D,D,True,5,8
1,20,2,S,S,True,5,7
1,20,3,F,F,True,4,7
1,21,2,A,D,False,4,7
1,21,3,S,S,True,5,7
1,22,2,K,G,False,5,7
1,22,3,S,S,True,6,7
1,23,2,S,S,True,6,6
1,23,3,K,K,True,6,6
1,24,2,A,A,True,6,6
1,24,3,S,S,True,5,6
1,25,2,D,D,True,5,6
1,25,3,L,L,True,5,6
