session,trial,staircase,letter,response,correct,soa1,soa2
1,1,2,G,G,True,12,12
1,1,3,L,L,True,12,12
1,2,2,F,F,True,12,12
1,2,3,S,S,True,11,12
1,3,2,G,G,True,11,12
1,3,3,J,J,True,11,12
1,4,2,F,F,True,11,11
1,4,3,A,A,True,10,11
1,5,2,G,G,True,10,11
1,5,3,F,F,True,10,11
1,6,2,H,H,True,10,11
1,6,3,A,A,True,9,11
1,7,2,H,H,True,9,10
1,7,3,D,D,True,9,10
1,8,2,L,L,True,9,10
1,8,3,S,S,True,8,10
1,9,2,D,D,True,8,10
1,9,3,S,S,True,8,10
1,10,2,K,K,True,8,9
1,10,3,S,S,True,7,9
1,11,2,K,K,True,7,9
1,11,3,A,A,True,7,9
1,12,2,A,A,True,7,9
1,12,3,A,A,True,6,9
1,13,2,G,G,True,6,8
1,13,3,K,K,True,6,8
1,14,2,F,D,False,6,8
1,14,3,J,J,True,7,8
1,15,2,F,F,True,7,8
1,15,3,A,A,True,7,8
1,16,2,G,G,True,7,7
1,16,3,G,G,True,6,7
1,17,2,K,K,True,6,7
1,17,3,F,F,True,6,7
1,18,2,H,F,False,6,7
1,18,3,G,G,True,7,7
1,19,2,G,G,True,7,6
1,19,3,D,D,True,7,6
1,20,2,H,F,False,7,6
1,20,3,J,F,False,8,6
1,21,2,D,D,True,8,7
1,21,3,F,D,False,8,7
1,22,2,H,H,True,8,8
1,22,3,A,A,True,7,8
1,23,2,L,L,True,7,8
1,23,3,K,K,True,7,8
1,24,2,H,H,True,7,8
1,24,3,A,A,True,6,8
1,25,2,L,L,True,6,7
1,25,3,J,J,True,6,7
2,1,2,G,G,True,6,7
2,1,3,G,G,True,6,7
2,2,2,D,D,True,6,7
2,2,3,J,J,True,5,7
2,3,2,G,G,True,5,7
2,3,3,F,F,True,5,7
2,4,2,G,G,True,5,6
2,4,3,F,H,False,4,6
2,5,2,J,H,False,4,7
2,5,3,H,H,True,5,7
2,6,2,G,J,False,5,7
2,6,3,K,K,True,6,7
2,7,2,K,K,True,6,7
2,7,3,G,G,True,6,7
2,8,2,H,H,True,6,6
2,8,3,H,H,True,5,6
2,9,2,D,D,True,5,6
2,9,3,H,D,False,5,6
2,10,2,H,D,False,5,7
2,10,3,F,F,True,6,7
2,11,2,H,F,False,6,7
2,11,3,J,K,False,7,7
2,12,2,S,S,True,7,8
2,12,3,H,H,True,7,8
2,13,2,H,H,True,7,8
2,13,3,H,H,True,6,8
2,14,2,A,S,False,6,8
2,14,3,K,K,True,7,8
2,15,2,F,F,True,7,7
2,15,3,H,H,True,7,7
2,16,2,D,D,True,7,7
2,16,3,A,A,True,6,7
2,17,2,H,D,False,6,7
2,17,3,F,D,False,7,7
2,18,2,L,L,True,7,8
2,18,3,A,A,True,7,8
2,19,2,J,J,True,7,8
2,19,3,J,H,False,6,8
2,20,2,A,A,True,6,9
2,20,3,S,S,True,6,9
2,21,2,D,D,True,6,9
2,21,3,S,S,True,5,9
2,22,2,J,D,False,5,9
2,22,3,D,D,True,6,9
2,23,2,J,A,False,6,8
2,23,3,S,S,True,7,8
2,24,2,D,D,True,7,8
2,24,3,H,H,True,7,8
2,25,2,J,J,True,7,8
2,25,3,D,D,True,6,8
3,1,2,L,A,False,6,8
3,1,3,A,A,True,7,8
3,2,2,K,K,True,7,8
3,2,3,A,A,True,7,8
3,3,2,J,J,True,7,8
3,3,3,D,D,True,6,8
3,4,2,H,H,True,6,7
3,4,3,J,J,True,6,7
3,5,2,F,D,False,6,7
3,5,3,H,H,True,7,7
3,6,2,L,L,True,7,7
3,6,3,H,H,True,7,7
3,7,2,H,H,True,7,6
3,7,3,S,S,True,6,6
3,8,2,A,A,True,6,6
3,8,3,H,H,True,6,6
3,9,2,A,A,True,6,6
3,9,3,D,D,True,5,6
3,10,2,S,H,False,5,5
3,10,3,K,H,False,6,5
3,11,2,D,D,True,6,6
3,11,3,L,L,True,6,6
3,12,2,S,S,True,6,6
3,12,3,K,K,True,5,6
3,13,2,F,A,False,5,6
3,13,3,J,J,True,6,6
3,14,2,G,G,True,6,5
3,14,3,S,H,False,6,5
3,15,2,L,K,False,6,6
3,15,3,K,K,True,7,6
3,16,2,A,A,True,7,6
3,16,3,F,D,False,7,6
3,17,2,S,S,True,7,7
3,17,3,H,H,True,6,7
3,18,2,H,H,True,6,7
3,18,3,J,A,False,6,7
3,19,2,F,H,False,6,8
3,19,3,A,A,True,7,8
3,20,2,L,L,True,7,8
3,20,3,A,A,True,7,8
3,21,2,G,G,True,7,8
3,21,3,F,F,True,6,8
3,22,2,J,J,True,6,7
3,22,3,H,H,True,6,7
3,23,2,J,J,True,6,7
3,23,3,H,H,True,5,7
3,24,2,H,H,True,5,7
3,24,3,F,F,True,5,7
3,25,2,K,F,False,5,6
3,25,3,K,H,False,6,6
