session,trial,staircase,letter,response,correct,soa1,soa2
1,1,2,D,D,True,12,12
1,1,3,K,K,True,12,12
1,2,2,S,S,True,12,12
1,2,3,A,A,True,11,12
1,3,2,H,H,True,11,12
1,3,3,K,J,False,11,12
1,4,2,J,J,True,11,13
1,4,3,J,J,True,10,13
1,5,2,L,L,True,10,13
1,5,3,J,J,True,10,13
1,6,2,S,S,True,10,13
1,6,3,A,A,True,9,13
1,7,2,G,G,True,9,12
1,7,3,G,G,True,9,12
1,8,2,J,J,True,9,12
1,8,3,A,A,True,8,12
1,9,2,G,G,True,8,12
1,9,3,S,S,True,8,12
1,10,2,G,G,True,8,11
1,10,3,S,S,True,7,11
1,11,2,J,S,False,7,11
1,11,3,K,K,True,8,11
1,12,2,K,K,True,8,11
1,12,3,J,J,True,8,11
1,13,2,G,G,True,8,10
1,13,3,F,F,True,7,10
1,14,2,J,H,False,7,10
1,14,3,K,K,True,8,10
1,15,2,K,K,True,8,10
1,15,3,A,A,True,8,10
1,16,2,S,S,True,8,9
1,16,3,G,G,True,7,9
1,17,2,H,K,False,7,9
1,17,3,F,S,False,8,9
1,18,2,A,A,True,8,10
1,18,3,H,H,True,8,10
1,19,2,S,A,False,8,10
1,19,3,F,F,True,9,10
1,20,2,J,J,True,9,10
1,20,3,D,D,True,9,10
1,21,2,F,F,True,9,9
1,21,3,A,A,True,8,9
1,22,2,L,L,True,8,9
1,22,3,H,H,True,8,9
1,23,2,G,G,True,8,9
1,23,3,H,H,True,7,9
1,24,2,F,H,False,7,8
1,24,3,J,J,True,8,8
1,25,2,F,F,True,8,8
1,25,3,J,J,True,8,8
