session,trial,staircase,letter,response,correct,soa1,soa2
1,1,2,F,F,True,12,12
1,1,3,F,F,True,12,12
1,2,2,H,H,True,12,12
1,2,3,S,S,True,11,12
1,3,2,K,K,True,11,12
1,3,3,F,F,True,11,12
1,4,2,J,J,True,11,11
1,4,3,L,L,True,10,11
1,5,2,S,S,True,10,11
1,5,3,L,L,True,10,11
1,6,2,F,F,True,10,11
1,6,3,K,K,True,9,11
1,7,2,L,L,True,9,10
1,7,3,G,G,True,9,10
1,8,2,K,K,True,9,10
1,8,3,L,L,True,8,10
1,9,2,D,D,True,8,10
1,9,3,J,J,True,8,10
1,10,2,D,D,True,8,9
1,10,3,J,J,True,7,9
1,11,2,J,J,True,7,9
1,11,3,K,K,True,7,9
1,12,2,K,K,True,7,9
1,12,3,A,A,True,6,9
1,13,2,A,A,True,6,8
1,13,3,D,D,True,6,8
1,14,2,J,J,True,6,8
1,14,3,S,S,True,5,8
1,15,2,K,A,False,5,8
1,15,3,D,D,True,6,8
1,16,2,S,S,True,6,7
1,16,3,K,K,True,6,7
1,17,2,J,J,True,6,7
1,17,3,H,H,True,5,7
1,18,2,S,H,False,5,7
1,18,3,L,K,False,6,7
1,19,2,S,S,True,6,8
1,19,3,L,L,True,6,8
1,20,2,K,D,False,6,8
1,20,3,G,G,True,7,8
1,21,2,A,A,True,7,8
1,21,3,F,D,False,7,8
1,22,2,F,D,False,7,9
1,22,3,D,D,True,8,9
1,23,2,F,F,True,8,9
1,23,3,D,D,True,8,9
1,24,2,J,J,True,8,9
1,24,3,H,H,True,7,9
1,25,2,L,G,False,7,8
1,25,3,J,J,True,8,8
