session,trial,staircase,letter,response,correct,soa1,soa2
1,1,2,D,D,True,12,12
1,1,3,K,K,True,12,12
1,2,2,G,G,True,12,12
1,2,3,D,D,True,11,12
1,3,2,S,S,True,11,12
1,3,3,D,D,True,11,12
1,4,2,H,H,True,11,11
1,4,3,J,J,True,10,11
1,5,2,H,H,True,10,11
1,5,3,L,L,True,10,11
1,6,2,H,H,True,10,11
1,6,3,S,S,True,9,11
1,7,2,J,J,True,9,10
1,7,3,F,F,True,9,10
1,8,2,L,L,True,9,10
1,8,3,S,S,True,8,10
1,9,2,S,S,True,8,10
1,9,3,S,S,True,8,10
1,10,2,L,L,True,8,9
1,10,3,H,H,True,7,9
1,11,2,J,J,True,7,9
1,11,3,K,K,True,7,9
1,12,2,F,F,True,7,9
1,12,3,G,G,True,6,9
1,13,2,L,L,True,6,8
1,13,3,G,G,True,6,8
1,14,2,A,A,True,6,8
1,14,3,K,K,True,5,8
1,15,2,L,G,False,5,8
1,15,3,H,H,True,6,8
1,16,2,F,F,True,6,7
1,16,3,L,L,True,6,7
1,17,2,S,S,True,6,7
1,17,3,S,S,True,5,7
1,18,2,D,D,True,5,7
1,18,3,S,S,True,5,7
1,19,2,J,A,False,5,6
1,19,3,G,G,True,6,6
1,20,2,S,S,True,6,6
1,20,3,H,H,True,6,6
1,21,2,D,S,False,6,6
1,21,3,F,F,True,7,6
1,22,2,H,H,True,7,5
1,22,3,F,D,False,7,5
1,23,2,D,D,True,7,6
1,23,3,H,H,True,6,6
1,24,2,A,A,True,6,6
1,24,3,K,K,True,6,6
1,25,2,S,S,True,6,6
1,25,3,G,G,True,5,6
