session,trial,staircase,letter,response,correct,alpha1,alpha2
1,1,2,A,A,True,0.15,0.15
1,1,3,S,S,True,0.15,0.15
1,2,2,H,H,True,0.15,0.15
1,2,3,H,H,True,0.14,0.15
1,3,2,A,A,True,0.14,0.15
1,3,3,D,D,True,0.14,0.15
1,4,2,S,S,True,0.14,0.14
1,4,3,F,F,True,0.13,0.14
1,5,2,G,G,True,0.13,0.14
1,5,3,F,F,True,0.13,0.14
1,6,2,D,H,False,0.13,0.14
1,6,3,A,A,True,0.14,0.14
1,7,2,D,D,True,0.14,0.13
1,7,3,D,D,True,0.14,0.13
1,8,2,S,S,True,0.14,0.13
1,8,3,A,A,True,0.13,0.13
1,9,2,G,G,True,0.13,0.13
1,9,3,L,L,True,0.13,0.13
1,10,2,D,D,True,0.13,0.12
1,10,3,H,H,True,0.12,0.12
1,11,2,G,G,True,0.12,0.12
1,11,3,S,S,True,0.12,0.12
1,12,2,G,G,True,0.12,0.12
1,12,3,F,F,True,0.11,0.12
1,13,2,A,A,True,0.11,0.11
1,13,3,H,H,True,0.11,0.11
1,14,2,K,K,True,0.11,0.11
1,14,3,D,D,True,0.1,0.11
1,15,2,H,H,True,0.1,0.11
1,15,3,G,G,True,0.1,0.11
1,16,2,S,S,True,0.1,0.1
1,16,3,L,H,False,0.09,0.1
1,17,2,D,D,True,0.09,0.11
1,17,3,L,L,True,0.09,0.11
1,18,2,S,S,True,0.09,0.11
1,18,3,G,G,True,0.08,0.11
1,19,2,F,F,True,0.08,0.11
1,19,3,G,G,True,0.08,0.11
1,20,2,K,K,True,0.08,0.1
1,20,3,F,H,False,0.07,0.1
1,21,2,H,J,False,0.07,0.11
1,21,3,D,D,True,0.08,0.11
1,22,2,A,H,False,0.08,0.11
1,22,3,G,G,True,0.09,0.11
1,23,2,F,K,False,0.09,0.11
1,23,3,A,A,True,0.1,0.11
1,24,2,S,S,True,0.1,0.1
1,24,3,L,L,True,0.1,0.1
1,25,2,K,K,True,0.1,0.1
1,25,3,H,H,True,0.09,0.1
2,1,2,H,D,False,0.09,0.1
2,1,3,D,F,False,0.1,0.1
2,2,2,K,K,True,0.1,0.11
2,2,3,F,F,True,0.1,0.11
2,3,2,L,F,False,0.1,0.11
2,3,3,H,H,True,0.11,0.11
2,4,2,A,A,True,0.11,0.11
2,4,3,K,K,True,0.11,0.11
2,5,2,D,A,False,0.11,0.1
2,5,3,J,H,False,0.12,0.1
2,6,2,K,K,True,0.12,0.11
2,6,3,L,H,False,0.12,0.11
2,7,2,D,K,False,0.12,0.12
2,7,3,S,S,True,0.13,0.12
2,8,2,K,K,True,0.13,0.12
2,8,3,J,J,True,0.13,0.12
2,9,2,L,H,False,0.13,0.12
2,9,3,D,D,True,0.14,0.12
