session,trial,staircase,orientation,response,correct,soa1,soa2
1,1,2,left,right,False,12,12
1,1,3,right,right,True,13,12
1,2,2,left,right,False,13,12
1,2,3,right,right,True,14,12
1,3,2,right,left,False,14,12
1,3,3,left,right,False,15,12
1,4,2,right,right,True,15,13
1,4,3,left,right,False,15,13
1,5,2,right,left,False,15,14
1,5,3,right,right,True,16,14
1,6,2,right,right,True,16,14
1,6,3,right,left,False,16,14
1,7,2,right,left,False,16,15
1,7,3,right,right,True,17,15
1,8,2,right,right,True,17,15
1,8,3,left,left,True,17,15
1,9,2,right,right,True,17,15
1,9,3,right,right,True,16,15
1,10,2,left,left,True,16,14
1,10,3,left,left,True,16,14
1,11,2,left,left,True,16,14
1,11,3,left,left,True,15,14
1,12,2,right,right,True,15,14
1,12,3,left,left,True,15,14
1,13,2,right,right,True,15,13
1,13,3,left,left,True,14,13
1,14,2,right,right,True,14,13
1,14,3,right,right,True,14,13
1,15,2,left,right,False,14,13
1,15,3,left,left,True,15,13
1,16,2,right,right,True,15,12
1,16,3,right,right,True,15,12
1,17,2,right,right,True,15,12
1,17,3,left,left,True,14,12
1,18,2,right,left,False,14,12
1,18,3,right,right,True,15,12
1,19,2,left,left,True,15,11
1,19,3,right,right,True,15,11
1,20,2,right,right,True,15,11
1,20,3,left,left,True,14,11
1,21,2,left,left,True,14,11
1,21,3,right,left,False,14,11
1,22,2,left,left,True,14,12
1,22,3,right,right,True,13,12
1,23,2,right,right,True,13,12
1,23,3,right,right,True,13,12
1,24,2,right,left,False,13,12
1,24,3,right,right,True,14,12
1,25,2,right,right,True,14,11
1,25,3,right,right,True,14,11
2,1,2,right,right,True,14,11
2,1,3,left,right,False,14,11
2,2,2,right,right,True,14,12
2,2,3,right,right,True,13,12
2,3,2,right,right,True,13,12
2,3,3,right,left,False,13,12
2,4,2,left,left,True,13,13
2,4,3,left,left,True,12,13
2,5,2,left,left,True,12,13
2,5,3,right,right,True,12,13
2,6,2,left,left,True,12,13
2,6,3,right,right,True,11,13
2,7,2,left,left,True,11,12
2,7,3,right,right,True,11,12
2,8,2,right,right,True,11,12
2,8,3,right,right,True,10,12
2,9,2,right,right,True,10,12
2,9,3,right,right,True,10,12
2,10,2,left,left,True,10,11
2,10,3,right,right,True,9,11
2,11,2,right,left,False,9,11
2,11,3,right,right,True,10,11
2,12,2,left,left,True,10,11
2,12,3,left,left,True,10,11
2,13,2,right,right,True,10,10
2,13,3,right,left,False,9,10
2,14,2,right,left,False,9,11
2,14,3,right,right,True,10,11
2,15,2,right,right,True,10,11
2,15,3,left,right,False,10,11
2,16,2,left,left,True,10,12
2,16,3,right,left,False,9,12
2,17,2,left,left,True,9,13
2,17,3,right,right,True,9,13
2,18,2,left,left,True,9,13
2,18,3,left,left,True,8,13
2,19,2,right,right,True,8,13
2,19,3,left,left,True,8,13
2,20,2,right,right,True,8,12
2,20,3,right,right,True,7,12
2,21,2,left,left,True,7,12
2,21,3,right,left,False,7,12
2,22,2,right,left,False,7,13
2,22,3,right,left,False,8,13
2,23,2,left,left,True,8,14
2,23,3,right,right,True,8,14
2,24,2,left,left,True,8,14
2,24,3,left,left,True,7,14
2,25,2,right,left,False,7,14
2,25,3,right,right,True,8,14
3,1,2,left,left,True,8,14
3,1,3,left,left,True,8,14
3,2,2,right,left,False,8,14
3,2,3,right,right,True,9,14
3,3,2,right,right,True,9,14
3,3,3,right,right,True,9,14
3,4,2,left,right,False,9,13
3,4,3,left,left,True,10,13
3,5,2,left,left,True,10,13
3,5,3,left,left,True,10,13
3,6,2,right,right,True,10,13
3,6,3,right,right,True,9,13
3,7,2,left,left,True,9,12
3,7,3,right,left,False,9,12
3,8,2,right,left,False,9,13
3,8,3,left,left,True,10,13
3,9,2,left,left,True,10,13
3,9,3,left,left,True,10,13
3,10,2,left,left,True,10,13
3,10,3,left,left,True,9,13
3,11,2,left,left,True,9,12
3,11,3,right,left,False,9,12
3,12,2,right,left,False,9,13
3,12,3,right,right,True,10,13
3,13,2,left,left,True,10,13
3,13,3,right,right,True,10,13
3,14,2,right,right,True,10,13
3,14,3,right,right,True,9,13
3,15,2,left,left,True,9,12
3,15,3,right,right,True,9,12
3,16,2,left,left,True,9,12
3,16,3,left,left,True,8,12
3,17,2,left,left,True,8,12
3,17,3,right,right,True,8,12
3,18,2,right,left,False,8,11
3,18,3,left,left,True,9,11
3,19,2,left,left,True,9,11
3,19,3,left,left,True,9,11
3,20,2,left,left,True,9,11
3,20,3,right,left,False,8,11
3,21,2,right,right,True,8,12
3,21,3,left,left,True,8,12
3,22,2,right,right,True,8,12
3,22,3,left,left,True,7,12
3,23,2,right,right,True,7,12
3,23,3,left,left,True,7,12
3,24,2,left,left,True,7,11
3,24,3,left,left,True,6,11
3,25,2,left,left,True,6,11
3,25,3,left,left,True,6,11
