session,trial,staircase,orientation,response,correct,diff1,diff2
1,1,2,right,left,False,15,15
1,1,3,left,left,True,16,15
1,2,2,right,right,True,16,15
1,2,3,right,right,True,16,15
1,3,2,left,left,True,16,15
1,3,3,right,right,True,15,15
1,4,2,left,left,True,15,14
1,4,3,left,left,True,15,14
1,5,2,left,right,False,15,14
1,5,3,left,left,True,16,14
1,6,2,right,left,False,16,14
1,6,3,left,left,True,17,14
1,7,2,left,left,True,17,13
1,7,3,left,left,True,17,13
1,8,2,left,left,True,17,13
1,8,3,right,right,True,16,13
1,9,2,left,left,True,16,13
1,9,3,right,right,True,16,13
1,10,2,left,left,True,16,12
1,10,3,left,left,True,15,12
1,11,2,right,right,True,15,12
1,11,3,left,right,False,15,12
1,12,2,left,left,True,15,13
1,12,3,right,right,True,14,13
1,13,2,left,right,False,14,13
1,13,3,left,left,True,15,13
1,14,2,right,right,True,15,13
1,14,3,left,left,True,15,13
1,15,2,left,left,True,15,12
1,15,3,right,right,True,14,12
1,16,2,right,right,True,14,12
1,16,3,left,left,True,14,12
1,17,2,right,right,True,14,12
1,17,3,right,left,False,13,12
1,18,2,left,left,True,13,13
1,18,3,right,right,True,13,13
1,19,2,right,right,True,13,13
1,19,3,right,right,True,12,13
1,20,2,right,right,True,12,13
1,20,3,left,left,True,12,13
1,21,2,left,right,False,12,12
1,21,3,right,right,True,13,12
1,22,2,right,right,True,13,12
1,22,3,left,right,False,13,12
1,23,2,left,right,False,13,13
1,23,3,right,right,True,14,13
1,24,2,left,left,True,14,13
1,24,3,right,right,True,14,13
1,25,2,right,right,True,14,13
1,25,3,right,right,True,13,13
2,1,2,right,left,False,13,13
2,1,3,right,right,True,14,13
2,2,2,right,right,True,14,13
2,2,3,right,right,True,14,13
2,3,2,right,right,True,14,13
2,3,3,right,right,True,13,13
2,4,2,left,left,True,13,12
2,4,3,left,left,True,13,12
2,5,2,left,left,True,13,12
2,5,3,left,right,False,12,12
2,6,2,left,left,True,12,13
2,6,3,right,right,True,12,13
2,7,2,right,right,True,12,13
2,7,3,right,right,True,11,13
2,8,2,left,right,False,11,13
2,8,3,left,left,True,12,13
2,9,2,right,right,True,12,12
2,9,3,left,left,True,12,12
2,10,2,left,left,True,12,12
2,10,3,right,right,True,11,12
2,11,2,left,left,True,11,12
2,11,3,right,left,False,11,12
2,12,2,left,left,True,11,13
2,12,3,right,right,True,10,13
2,13,2,right,left,False,10,13
2,13,3,right,right,True,11,13
2,14,2,left,left,True,11,13
2,14,3,right,left,False,11,13
2,15,2,left,left,True,11,14
2,15,3,left,right,False,10,14
2,16,2,left,left,True,10,15
2,16,3,right,left,False,10,15
2,17,2,right,right,True,10,16
2,17,3,right,left,False,9,16
2,18,2,left,right,False,9,17
2,18,3,left,left,True,10,17
2,19,2,right,right,True,10,17
2,19,3,left,left,True,10,17
2,20,2,right,left,False,10,17
2,20,3,left,left,True,11,17
2,21,2,right,left,False,11,16
2,21,3,left,left,True,12,16
2,22,2,right,left,False,12,16
2,22,3,right,right,True,13,16
2,23,2,left,left,True,13,16
2,23,3,left,left,True,13,16
2,24,2,right,right,True,13,15
2,24,3,right,right,True,12,15
2,25,2,left,left,True,12,15
2,25,3,right,right,True,12,15
3,1,2,left,left,True,12,15
3,1,3,left,right,False,12,15
3,2,2,right,left,False,12,16
3,2,3,left,left,True,13,16
3,3,2,right,right,True,13,16
3,3,3,left,left,True,13,16
3,4,2,left,right,False,13,16
3,4,3,right,right,True,14,16
3,5,2,left,left,True,14,15
3,5,3,left,left,True,14,15
3,6,2,left,right,False,14,15
3,6,3,left,left,True,15,15
3,7,2,left,left,True,15,15
3,7,3,left,left,True,15,15
3,8,2,left,left,True,15,14
3,8,3,right,right,True,14,14
3,9,2,right,right,True,14,14
3,9,3,right,right,True,14,14
3,10,2,right,right,True,14,14
3,10,3,right,right,True,13,14
3,11,2,left,left,True,13,13
3,11,3,left,left,True,13,13
3,12,2,right,left,False,13,13
3,12,3,left,left,True,14,13
3,13,2,left,left,True,14,13
3,13,3,right,right,True,14,13
3,14,2,right,right,True,14,12
3,14,3,right,right,True,13,12
3,15,2,left,left,True,13,12
3,15,3,right,right,True,13,12
3,16,2,left,right,False,13,12
3,16,3,left,left,True,14,12
3,17,2,left,left,True,14,11
3,17,3,right,right,True,14,11
3,18,2,right,right,True,14,11
3,18,3,right,right,True,13,11
3,19,2,right,right,True,13,11
3,19,3,left,right,False,13,11
3,20,2,right,right,True,13,12
3,20,3,right,right,True,12,12
3,21,2,right,right,True,12,12
3,21,3,right,right,True,12,12
3,22,2,left,left,True,12,12
3,22,3,right,right,True,11,12
3,23,2,left,left,True,11,11
3,23,3,left,left,True,11,11
3,24,2,right,right,True,11,11
3,24,3,left,left,True,10,11
3,25,2,left,right,False,10,11
3,25,3,right,left,False,11,11
