session,trial,staircase,orientation,response,correct,diff1,diff2
1,1,2,right,right,True,15,15
1,1,3,left,left,True,15,15
1,2,2,left,right,False,15,15
1,2,3,right,right,True,16,15
1,3,2,right,right,True,16,15
1,3,3,left,left,True,16,15
1,4,2,left,left,True,16,14
1,4,3,left,left,True,15,14
1,5,2,left,left,True,15,14
1,5,3,right,right,True,15,14
1,6,2,left,left,True,15,14
1,6,3,left,left,True,14,14
1,7,2,left,left,True,14,13
1,7,3,left,left,True,14,13
1,8,2,right,right,True,14,13
1,8,3,left,left,True,13,13
1,9,2,left,left,True,13,13
1,9,3,right,right,True,13,13
1,10,2,left,left,True,13,12
1,10,3,right,right,True,12,12
1,11,2,right,right,True,12,12
1,11,3,right,right,True,12,12
1,12,2,left,left,True,12,12
1,12,3,left,left,True,11,12
1,13,2,left,right,False,11,11
1,13,3,right,right,True,12,11
1,14,2,left,left,True,12,11
1,14,3,left,right,False,12,11
1,15,2,right,right,True,12,12
1,15,3,left,left,True,11,12
1,16,2,right,right,True,11,12
1,16,3,right,left,False,11,12
1,17,2,left,right,False,11,13
1,17,3,right,right,True,12,13
1,18,2,left,left,True,12,13
1,18,3,right,right,True,12,13
1,19,2,left,left,True,12,13
1,19,3,right,right,True,11,13
1,20,2,left,left,True,11,12
1,20,3,left,right,False,11,12
1,21,2,right,right,True,11,13
1,21,3,right,right,True,10,13
1,22,2,right,right,True,10,13
1,22,3,left,left,True,10,13
1,23,2,right,right,True,10,13
1,23,3,right,right,True,9,13
1,24,2,right,right,True,9,12
1,24,3,right,right,True,9,12
1,25,2,left,right,False,9,12
1,25,3,right,right,True,10,12
