session,trial,staircase,orientation,response,correct,diff1,diff2
1,1,2,left,right,False,15,15
1,1,3,left,left,True,16,15
1,2,2,right,left,False,16,15
1,2,3,right,right,True,17,15
1,3,2,left,left,True,17,15
1,3,3,right,right,True,17,15
1,4,2,right,right,True,17,14
1,4,3,left,left,True,16,14
1,5,2,right,right,True,16,14
1,5,3,left,left,True,16,14
1,6,2,left,left,True,16,14
1,6,3,right,right,True,15,14
1,7,2,right,left,False,15,13
1,7,3,right,right,True,16,13
1,8,2,right,right,True,16,13
1,8,3,left,right,False,16,13
1,9,2,right,right,True,16,14
1,9,3,right,right,True,15,14
1,10,2,right,left,False,15,14
1,10,3,right,left,False,16,14
1,11,2,left,right,False,16,15
1,11,3,left,left,True,17,15
1,12,2,right,right,True,17,15
1,12,3,right,right,True,17,15
1,13,2,right,left,False,17,15
1,13,3,left,right,False,18,15
1,14,2,right,right,True,18,16
1,14,3,right,right,True,18,16
1,15,2,left,left,True,18,16
1,15,3,right,right,True,17,16
1,16,2,left,left,True,17,16
1,16,3,right,right,True,17,16
1,17,2,left,left,True,17,15
1,17,3,right,right,True,16,15
1,18,2,right,right,True,16,15
1,18,3,right,right,True,16,15
1,19,2,left,left,True,16,15
1,19,3,right,right,True,15,15
1,20,2,right,right,True,15,14
1,20,3,right,right,True,15,14
1,21,2,left,left,True,15,14
1,21,3,left,left,True,14,14
1,22,2,right,right,True,14,14
1,22,3,left,right,False,14,14
1,23,2,left,left,True,14,15
1,23,3,right,right,True,13,15
1,24,2,left,left,True,13,15
1,24,3,right,right,True,13,15
1,25,2,left,left,True,13,15
1,25,3,right,right,True,12,15
2,1,2,left,left,True,12,15
2,1,3,right,right,True,12,15
2,2,2,right,left,False,12,15
2,2,3,left,left,True,13,15
2,3,2,left,right,False,13,15
2,3,3,right,right,True,14,15
2,4,2,right,right,True,14,14
2,4,3,right,right,True,14,14
2,5,2,left,left,True,14,14
2,5,3,left,left,True,13,14
2,6,2,right,right,True,13,14
2,6,3,left,left,True,13,14
2,7,2,left,left,True,13,13
2,7,3,left,left,True,12,13
2,8,2,right,right,True,12,13
2,8,3,right,right,True,12,13
2,9,2,left,left,True,12,13
2,9,3,right,right,True,11,13
2,10,2,left,left,True,11,12
2,10,3,right,left,False,11,12
2,11,2,right,right,True,11,13
2,11,3,left,left,True,10,13
2,12,2,left,left,True,10,13
2,12,3,right,right,True,10,13
2,13,2,right,left,False,10,13
2,13,3,right,right,True,11,13
2,14,2,right,left,False,11,12
2,14,3,right,right,True,12,12
2,15,2,left,left,True,12,12
2,15,3,left,left,True,12,12
2,16,2,left,left,True,12,12
2,16,3,left,left,True,11,12
2,17,2,left,left,True,11,11
2,17,3,right,left,False,11,11
2,18,2,right,right,True,11,12
2,18,3,right,right,True,10,12
2,19,2,right,left,False,10,12
2,19,3,left,left,True,11,12
2,20,2,right,left,False,11,12
2,20,3,left,left,True,12,12
2,21,2,right,right,True,12,11
2,21,3,left,left,True,12,11
2,22,2,right,left,False,12,11
2,22,3,right,right,True,13,11
2,23,2,right,right,True,13,11
2,23,3,right,right,True,13,11
2,24,2,left,left,True,13,10
2,24,3,right,right,True,12,10
2,25,2,right,right,True,12,10
2,25,3,left,left,True,12,10
3,1,2,left,right,False,12,10
3,1,3,left,left,True,13,10
3,2,2,right,right,True,13,10
3,2,3,left,left,True,13,10
3,3,2,right,right,True,13,10
3,3,3,left,right,False,12,10
3,4,2,left,left,True,12,11
3,4,3,left,right,False,12,11
3,5,2,left,left,True,12,12
3,5,3,right,left,False,11,12
3,6,2,left,left,True,11,13
3,6,3,left,left,True,11,13
3,7,2,left,left,True,11,13
3,7,3,left,left,True,10,13
3,8,2,left,right,False,10,13
3,8,3,left,left,True,11,13
3,9,2,right,left,False,11,12
3,9,3,right,right,True,12,12
3,10,2,left,left,True,12,12
3,10,3,right,right,True,12,12
3,11,2,left,left,True,12,12
3,11,3,left,right,False,11,12
3,12,2,left,left,True,11,13
3,12,3,left,left,True,11,13
3,13,2,left,left,True,11,13
3,13,3,right,left,False,10,13
3,14,2,left,right,False,10,14
3,14,3,right,right,True,11,14
3,15,2,right,left,False,11,14
3,15,3,left,left,True,12,14
3,16,2,left,left,True,12,14
3,16,3,left,left,True,12,14
3,17,2,left,left,True,12,13
3,17,3,right,right,True,11,13
3,18,2,left,left,True,11,13
3,18,3,right,right,True,11,13
3,19,2,left,left,True,11,13
3,19,3,left,left,True,10,13
3,20,2,left,left,True,10,12
3,20,3,right,right,True,10,12
3,21,2,right,right,True,10,12
3,21,3,right,left,False,9,12
3,22,2,right,right,True,9,13
3,22,3,left,left,True,9,13
3,23,2,left,left,True,9,13
3,23,3,right,left,False,8,13
3,24,2,left,left,True,8,14
3,24,3,left,left,True,8,14
3,25,2,left,left,True,8,14
3,25,3,left,left,True,7,14
